,Province/State,Country/Region,Last Update,Confirmed,Suspected,Recovered,Death,lat,lon
308,Ontario,Canada,20/1/31 14:00,2,0,0,0,51.253775,-85.323214
309,Queensland,Australia,20/1/31 14:00,2,0,0,0,-20.9175738,142.7027956
310,0,Italy,20/1/31 14:00,2,0,0,0,41.87194,12.56738
311,0,UK,20/1/31 14:00,2,0,0,0,55.378051,-3.435973
312,0,Russia,20/1/31 14:00,2,0,0,0,61.52401,105.318756
313,Washington,United States,20/1/31 14:00,1,0,0,0,47.7510741,-120.7401385
314,Arizona,United States,20/1/31 14:00,1,0,0,0,34.0489281,-111.0937311
315,0,Nepal,20/1/31 14:00,1,0,0,0,28.394857,84.124008
316,British Columbia,Canada,20/1/31 14:00,1,0,0,0,53.7266683,-127.6476205
317,0,Cambodia,20/1/31 14:00,1,0,0,0,12.565679,104.990963
318,0,Sri Lanka,20/1/31 14:00,1,0,0,0,7.873054,80.771797
319,0,Finland,20/1/31 14:00,1,0,0,0,61.92411,25.7481511
320,0,Philippines,20/1/31 14:00,1,0,0,0,12.879721,121.774017
321,0,India,20/1/31 14:00,1,0,0,0,20.593684,78.96288
322,0,Sweden,20/1/31 14:00,1,0,0,0,60.128161,18.643501
323,Hubei,China,20/1/30 21:30,5806,0,116,204,30.7378118,112.2384017
324,Zhejiang,China,20/1/30 21:30,537,0,9,0,29.1416432,119.7889248
325,Guangdong,China,20/1/30 21:30,393,0,11,0,23.3790333,113.7632828
326,Henan,China,20/1/30 21:30,352,0,3,2,34.2904302,113.3823545
327,Hunan,China,20/1/30 21:30,332,0,2,0,27.6252995,111.8568586
328,Jiangxi,China,20/1/30 21:30,240,0,7,0,27.0874564,114.9042208
329,Anhui,China,20/1/30 21:30,237,0,3,0,30.6006773,117.9249002
330,Chongqing,China,20/1/30 21:30,206,0,1,0,29.4315861,106.912251
331,Shandong,China,20/1/30 21:30,178,0,2,0,35.8939566,117.9249002
332,Sichuan,China,20/1/30 21:30,177,0,1,1,30.2638032,102.8054753
333,Jiangsu,China,20/1/30 21:30,168,0,2,0,33.1401715,119.7889248
334,Shanghai,China,20/1/30 21:30,128,0,9,1,31.230416,121.473701
335,Beijing,China,20/1/30 21:30,121,0,5,1,39.9041999,116.4073963
336,Fujian,China,20/1/30 21:30,101,0,0,0,26.4836842,117.9249002
337,Guangxi,China,20/1/30 21:30,87,0,2,0,23.7247599,108.8076195
338,Hebei,China,20/1/30 21:30,82,0,0,1,37.8956594,114.9042208
339,Yunnan,China,20/1/30 21:30,76,0,0,0,24.4752847,101.3431058
340,Shaanxi,China,20/1/30 21:30,87,0,0,0,35.3939908,109.1880047
341,Heilongjiang,China,20/1/30 21:30,59,0,0,2,47.1216472,128.738231
342,Hainan,China,20/1/30 21:30,50,0,1,1,19.5663947,109.949686
343,Liaoning,China,20/1/30 21:30,45,0,1,0,41.9436543,122.5290376
344,Shanxi,China,20/1/30 21:30,39,0,1,0,37.2425649,111.8568586
345,Tianjin,China,20/1/30 21:30,32,0,0,0,39.3433574,117.3616476
346,Gansu,China,20/1/30 21:30,29,0,0,0,35.7518326,104.2861116
347,Ningxia,China,20/1/30 21:30,21,0,1,0,37.198731,106.1580937
348,Inner Mongolia,China,20/1/30 21:30,20,0,0,0,43.37822,115.0594815
